question_id,options,correct
1,BDFO,True
1,0HP,False
1,ZY,False
1,BDE,False
2,EQX,True
3,RV,True
3,YFU,False
3,3L,False
3,XP04D,False
4,EU,True
4,REL8W,False
4,GG9H,False
4,R5,False
5,ZC,True
5,U744,False
5,VZ,False
5,9G4AY,False
6,P69S,True
6,3MC8,False
6,MJ,False
6,NJTFC,False
7,8X,True
7,J3N1,False
7,3QCBM,False
7,9RY1,False
8,U6,True
8,7YQTK,False
8,AN3,False
8,UAT,False
9,QHPV,True
9,J1EKG,False
9,HY,False
9,UF,False
10,EXW1,True
10,SV,False
10,AP,False
10,PVZ,False
11,C67,True
11,GPJD,False
11,CCC2,False
11,2C1R,False
12,DAQT,True
12,SR,False
12,RE3GC,False
12,OVMN,False
13,F0Z,True
14,09,True
14,MN,False
14,MKRG,False
14,XNRJ,False
15,9MLW,True
15,F1DFC,False
15,ZKX,False
15,BGJ5Y,False
16,INQ,True
16,JUJ,False
16,CQX2H,False
16,XTQVN,False
17,A4,True
17,WS0,False
17,G516Y,False
17,NJOYA,False
18,R2GB,True
18,U9ZC,False
18,28,False
18,41,False
19,0R92,True
19,LVRI,False
19,2AS1,False
19,J3NSL,False
20,KN,True
20,3LT10,False
20,HE7UV,False
20,2M,False
21,2SXM,True
21,P0,False
21,D0,False
21,1VZ,False
22,S22I,True
23,R0PH,True
24,GP,True
25,OL0,True
25,SEPU,False
25,LTTFJ,False
25,C7LCG,False
26,AM,True
26,IG1,False
26,X2B,False
26,8WI,False
27,4B,True
27,VED,False
27,PKW,False
27,CYGX,False
28,J4FO,True
28,WA2U,False
28,NX8IR,False
28,63,False
29,MBE,True
29,ENB0,False
29,L8,False
29,KBZ,False
30,KY,True
30,XW68,False
30,RB8QV,False
30,9EJ,False
31,87,True
32,H1,True
32,ZC,False
32,CW,False
32,WJ,False
33,EF7D,True
33,9HB,False
33,1KO,False
33,IZA,False
34,NNYP,True
35,NOT,True
36,7T,True
36,AUA,False
36,CIH,False
36,JT9T,False
37,HQK,True
37,KUQI3,False
37,BI06E,False
37,2O1,False
38,YIQ,True
39,XU,True
39,YWRN7,False
39,PCK,False
39,I4U,False
40,PHQ,True
41,EA1,True
42,VA,True
43,ONG2,True
44,T9,True
45,HN,True
45,3H,False
45,4QF,False
45,BP,False
46,6AN2,True
46,11JP,False
46,GT7UW,False
46,F4L,False
47,RGR4,True
48,21D,True
48,54,False
48,CI,False
48,X3NOF,False
49,GZ,True
50,3WJ,True
51,4KEE,True
51,8W,False
51,DRP,False
51,ETZZ,False
52,RSZ3,True
52,FBV6F,False
52,942,False
52,9EUE,False
53,EIX,True
54,V6,True
55,D8,True
56,JZJA,True
56,LR,False
56,LGWR4,False
56,GG11U,False
57,HBG7,True
57,YR,False
57,CJ7E,False
57,4415,False
58,6J,True
59,0Z,True
60,GD,True
61,RF,True
61,C9IB,False
61,3UPTV,False
61,B53L7,False
62,6Z,True
62,X3X,False
62,US,False
62,9QJT7,False
63,098V,True
63,JWR,False
63,P5,False
63,KPM,False
64,G0R,True
65,ZS,True
66,RG,True
66,YIMFA,False
66,SX,False
66,4U,False
67,2J,True
67,5WQK,False
67,460L,False
67,VXL,False
68,1S4O,True
68,DBYP8,False
68,FDS,False
68,NA,False
69,IN,True
69,K4,False
69,6YMUC,False
69,NJ0Y,False
70,BYWO,True
70,106,False
70,HQRU4,False
70,9W29A,False
71,9W,True
71,K4N,False
71,GRD4,False
71,MGE,False
72,G51,True
73,B50I,True
73,3ULE,False
73,07GI1,False
73,RW5,False
74,QU5,True
74,8M2,False
74,KU1,False
74,JN2N0,False
75,WTOM,True
75,N1D,False
75,V08Y,False
75,0LMYT,False
76,6L,True
76,7H,False
76,FG,False
76,9Y6,False
77,33Z,True
77,O7,False
77,DM,False
77,E1NPS,False
78,BZ9I,True
78,GG,False
78,A7,False
78,4CU1,False
79,4AZL,True
79,TT5H,False
79,AW8VD,False
79,BU,False
80,RT,True
81,9GH,True
82,MYX,True
82,4U,False
82,ZIRF,False
82,L96,False
83,5Z5X,True
83,9H,False
83,VAEE8,False
83,Q2M5O,False
84,YG5,True
85,3R7,True
85,C4,False
85,NFEBR,False
85,XZ82,False
86,8A,True
86,8W,False
86,7A,False
86,G8W6,False
87,2J6A,True
87,L8A4C,False
87,GX6,False
87,3S7Y,False
88,74,True
88,EWZIX,False
88,4BZ,False
88,7MR,False
89,JNYG,True
89,TIW,False
89,4U6J,False
89,00,False
90,XNTA,True
90,LTO1,False
90,YSTKK,False
90,WDU,False
91,JOFI,True
92,186,True
92,XK,False
92,1BOH,False
92,E3B8N,False
93,UERY,True
93,NG9P,False
93,31,False
93,5OY,False
94,5C,True
94,0I,False
94,U77,False
94,3LPTO,False
95,Y5V,True
95,RXYI9,False
95,W91S,False
95,DBYAA,False
96,CR,True
96,U16,False
96,P8,False
96,58MF,False
97,C56,True
98,C2,True
99,88LG,True
100,9S,True
100,C1,False
100,I6Y,False
100,GX,False
101,WTT,True
101,LZ4,False
101,82,False
101,DVA9A,False
102,8IE9,True
102,18TR9,False
102,53GHQ,False
102,T96,False
103,B8,True
103,BPZEI,False
103,UBS,False
103,ZFQ86,False
104,9Y,True
104,BH,False
104,QSQYU,False
104,E2DL,False
105,4JXZ,True
106,CRNZ,True
106,H6S6N,False
106,V6,False
106,22,False
107,IKG,True
107,G2CHY,False
107,BN,False
107,PKU1,False
108,WM,True
108,8C94L,False
108,AHD7,False
108,MBHQQ,False
109,ZF2,True
109,WD5A3,False
109,1N,False
109,AM58B,False
110,2E,True
111,ZWU2,True
112,QB,True
112,YX8V,False
112,6U43,False
112,J6B,False
113,PG,True
113,F65,False
113,D3,False
113,EE,False
114,NP,True
114,YEJW,False
114,UKN6,False
114,9G,False
115,7H,True
116,GF,True
117,6F,True
117,X5R,False
117,CP,False
117,8QKF,False
118,JRK,True
119,M2,True
119,60VM,False
119,UIFHZ,False
119,1M6C,False
120,K7E5,True
120,MUM,False
120,2QT12,False
120,PJ,False
121,T4I,True
122,Y1S,True
122,TJ83,False
122,FJAMD,False
122,X9R1,False
123,PPG,True
124,MZM,True
124,KA,False
124,83ZV,False
124,METI,False
125,OQ,True
125,ZX,False
125,55,False
125,4F,False
126,ZVW,True
126,5P2R,False
126,M05,False
126,BQP,False
127,5K,True
128,FM,True
128,0Q5VY,False
128,IT,False
128,PZT6,False
129,4K,True
129,Y56,False
129,G4YY,False
129,AKLES,False
130,2TV,True
130,GG,False
130,KS,False
130,KU,False
131,BIK9,True
131,61ZL,False
131,5ZF,False
131,WJ,False
132,DG4,True
132,9RU,False
132,PWHD7,False
132,4RH8L,False
133,DLY,True
133,V18O,False
133,HD,False
133,4UWKZ,False
134,CQ,True
135,2P,True
136,E1,True
136,6BAG,False
136,D08UR,False
136,0CF8I,False
137,EZ5,True
138,VII2,True
139,XNMM,True
139,AYJ,False
139,PS,False
139,F8L6,False
140,4AO,True
141,J88,True
141,S4PO0,False
141,5R,False
141,54R6,False
142,KY,True
142,87,False
142,W4,False
142,ZQ2V,False
143,WDB0,True
144,9DW2,True
144,J4X,False
144,FB3,False
144,9G7B,False
145,6T7,True
145,7L,False
145,60,False
145,VMGL,False
146,TD1J,True
147,ZL1I,True
148,48T,True
149,UZ,True
149,EC,False
149,4S6S,False
149,5WZZ,False
150,A8K,True
151,MFW,True
151,IV2UI,False
151,4Z3V,False
151,QJ4JS,False
152,GER,True
152,1FVQT,False
152,LK1,False
152,TG,False
153,OAY,True
153,VWRW,False
153,AGNT,False
153,IVN,False
154,1Y,True
154,H8NL,False
154,62W,False
154,25Y,False
155,QR,True
155,1FAD,False
155,ZDJU,False
155,TPUU,False
156,Z8U6,True
156,9J,False
156,9ZZX6,False
156,5LM2E,False
157,K1,True
157,OFUWG,False
157,BC8SD,False
157,JWAR9,False
158,8X0X,True
158,5F4W,False
158,K92X,False
158,SG,False
159,QE,True
160,QIH,True
160,1JYTM,False
160,BNJ,False
160,XUKS2,False
161,6MS,True
162,M01Y,True
162,EQ,False
162,SYY,False
162,ZSN,False
163,RNYB,True
163,PB,False
163,23,False
163,AUVZ1,False
164,XGWN,True
165,TK,True
165,SUNEX,False
165,AA5,False
165,D1,False
166,HOAF,True
166,BTDE,False
166,8HUS,False
166,I4,False
167,Z0H,True
167,GL5N,False
167,T7D92,False
167,DMFR,False
168,3M8,True
168,PCL0,False
168,5U50D,False
168,EA1M,False
169,2GFP,True
169,1SBGM,False
169,TRBMR,False
169,YPX0,False
170,UL,True
170,M8RZO,False
170,T5FNR,False
170,NS,False
171,2EC,True
172,RLB,True
172,6OQJ,False
172,IE1K,False
172,G36AG,False
173,7OE,True
174,0OL,True
175,C3E7,True
175,NFNFO,False
175,YS4,False
175,A5XF9,False
176,PXS,True
176,23JIN,False
176,S9JZT,False
176,L9A,False
177,M5B6,True
178,KP2,True
178,BWD,False
178,SPZR,False
178,SSAWK,False
179,3E,True
180,GVYM,True
181,78,True
182,UQK,True
182,EC2,False
182,IOY,False
182,SQ0,False
183,5VB,True
183,CF,False
183,76RX7,False
183,PGASY,False
184,8UM,True
185,Z3D,True
185,BJX1W,False
185,G6OS4,False
185,UV,False
186,EJ,True
186,GU,False
186,9VORN,False
186,FT0,False
187,TBBV,True
187,OV,False
187,RT,False
187,E91,False
188,ZC,True
188,ME,False
188,CV,False
188,0UU85,False
189,30KT,True
190,FEQ0,True
190,ZF,False
190,NH,False
190,H1S,False
191,0GYW,True
191,YT2,False
191,LJ,False
191,7Q,False
192,T5IE,True
192,9OUNU,False
192,N8,False
192,VD,False
193,3ONK,True
193,W2,False
193,IZ8UR,False
193,4XLYI,False
194,KQ,True
194,BYK,False
194,4UJK,False
194,Q6CAP,False
195,QQCD,True
196,V25,True
197,CK,True
197,FM3,False
197,R6,False
197,YL3,False
198,HOX,True
199,EGNS,True
200,YR,True
201,KJHZ,True
202,6R,True
203,TT,True
203,TDPQ5,False
203,R8W,False
203,O45V,False
204,B70H,True
204,G4MQ3,False
204,15A,False
204,FMC,False
205,QG51,True
205,2GU,False
205,O3WZ,False
205,9ZTO,False
206,9A,True
207,G1R,True
207,QCGM,False
207,R35OD,False
207,LMPPR,False
208,TZ,True
209,95,True
210,BKXD,True
210,GEMZ,False
210,ZRJ9,False
210,FA1D,False
211,KLO4,True
211,UT,False
211,4XP,False
211,N4QIC,False
212,GM,True
212,01AUS,False
212,TNH,False
212,61,False
213,9DBC,True
213,CSMKV,False
213,L981A,False
213,O10,False
214,7LOX,True
214,TNBN,False
214,ZRC,False
214,WW60,False
215,7TWF,True
215,D47,False
215,1C,False
215,BUO5N,False
216,YE,True
216,S8G3X,False
216,I3,False
216,CLA7,False
217,L03,True
217,VS69,False
217,BFBL7,False
217,4RDG,False
218,UGDN,True
218,0S,False
218,JFN,False
218,Z0VMA,False
219,OT,True
219,W2PK,False
219,RE,False
219,HA,False
220,K08D,True
221,2B,True
222,X9X,True
223,ZUP,True
224,C5NG,True
225,Y8,True
226,Q1H,True
226,PQA1G,False
226,QBMQ,False
226,A7T,False
227,M2,True
228,C1,True
228,HB,False
228,AT,False
228,SN,False
229,FO7,True
229,KSZ06,False
229,UEH,False
229,ZBB,False
230,W8A2,True
230,VWBG,False
230,X1,False
230,11A,False
231,AAX,True
232,5Z,True
233,IKG,True
233,69MT,False
233,827A7,False
233,YA3,False
234,YJ,True
235,SXB7,True
235,1T,False
235,34E,False
235,550,False
236,NXN,True
236,QY1I,False
236,IN3S2,False
236,NU97E,False
237,NM1H,True
238,V8,True
238,G2WG,False
238,19CQ,False
238,JMNPK,False
239,W9R,True
240,CEH6,True
241,H4P,True
241,3NIW,False
241,MPSO,False
241,V6T7,False
242,SIJ,True
243,96XN,True
243,CW,False
243,P6Z,False
243,10JWF,False
244,972,True
245,E2,True
245,88,False
245,NT77,False
245,40,False
246,OC,True
246,A4,False
246,1OZ0,False
246,1XCV8,False
247,7G5,True
247,6HAN,False
247,WZ,False
247,S7QN,False
248,RKA,True
249,AJM,True
249,L3P1,False
249,WU,False
249,63,False
250,O3O,True
251,69,True
251,0Y,False
251,RDF,False
251,Q1N,False
252,56,True
253,TG,True
254,9E,True
255,BDEK,True
256,V91K,True
256,S00EY,False
256,PK,False
256,ZU1,False
257,G95S,True
258,AI2,True
258,AD,False
258,FFX,False
258,ZEUKJ,False
259,H4,True
259,PAO,False
259,58H4,False
259,3N7,False
260,40,True
260,506V,False
260,GK0,False
260,4VAEM,False
261,NRT,True
261,MMD,False
261,WQ3RE,False
261,F96EU,False
262,2NH0,True
263,YAI3,True
264,Z3,True
264,B3T,False
264,CO,False
264,DQYK,False
265,EYJ,True
265,PJ7BT,False
265,AN7CH,False
265,PR59C,False
266,U2,True
266,LLVOU,False
266,OMXGY,False
266,WO8ZP,False
267,B9,True
267,BXV,False
267,UA,False
267,T6,False
268,B2,True
268,B3,False
268,W5GH,False
268,9Z,False
269,WD,True
269,3W0P,False
269,8M,False
269,1843,False
270,TNMR,True
271,VO,True
271,YENUN,False
271,OIK,False
271,YH2,False
272,ZQ,True
272,TKRZA,False
272,05R2F,False
272,8E,False
273,58UE,True
273,8AAWE,False
273,AYW99,False
273,FZ,False
274,RVXR,True
275,CQSO,True
276,9V,True
277,3FZ,True
278,23,True
279,9U0Q,True
280,APHO,True
281,EERU,True
281,SJQ,False
281,27D,False
281,2CXL,False
282,TK8H,True
283,6C1,True
284,QCI7,True
284,GM,False
284,KSFR,False
284,1WQUT,False
285,I1JF,True
286,EJ,True
286,QU2V,False
286,Z6M6Q,False
286,9G,False
287,DH,True
287,RQIH,False
287,2OLL,False
287,ZYB,False
288,YJ0,True
288,9XFO,False
288,IA0,False
288,XK,False
289,I423,True
289,EZ4,False
289,FR,False
289,LT,False
290,4LD,True
290,HO,False
290,4VLBG,False
290,ONL3F,False
291,8N,True
291,70,False
291,TMF,False
291,RH7R,False
292,XWE,True
292,U5UMR,False
292,5L,False
292,BI3V,False
293,H7,True
294,P8,True
294,UPJT,False
294,4GS9,False
294,7Y,False
295,JS,True
295,3TR,False
295,VN,False
295,R3Z,False
296,CN78,True
296,9C0,False
296,SAID,False
296,SIB4,False
297,RSF,True
298,RH6,True
298,NRPC,False
298,1XG,False
298,MWQ0M,False
299,XBT,True
299,N32L,False
299,33MH,False
299,Q7ZH,False
300,UFS7,True
301,WST,True
302,8G,True
303,MN,True
303,0VZ,False
303,MT7KT,False
303,0U,False
304,TP,True
305,UDE,True
305,ZX,False
305,0KQ,False
305,FU2P,False
306,JE,True
306,L00,False
306,QO,False
306,UK4,False
307,YJUG,True
307,VR89,False
307,HKRI,False
307,U516,False
308,JH5,True
309,TPHZ,True
309,5AWR2,False
309,0NO,False
309,B5G,False
310,5E27,True
310,3EWRV,False
310,FXG0,False
310,SJNB,False
311,9B4,True
311,C6W,False
311,WWP,False
311,2MLT,False
312,Z39J,True
312,L7PTP,False
312,VR4,False
312,2W6K3,False
313,1E,True
313,44S,False
313,ZV,False
313,75FTC,False
314,HRVO,True
315,HSBC,True
316,3H,True
316,2F2,False
316,7AS1C,False
316,GL5W,False
317,8XR,True
317,07X,False
317,YRTHL,False
317,LAFWP,False
318,KW1,True
319,WY5X,True
320,OH,True
321,EQH,True
321,LOKR,False
321,BNOZ,False
321,LQOYK,False
322,G8M,True
323,J8K,True
323,LK7,False
323,F1K4,False
323,BYUP,False
324,WD,True
324,F238,False
324,5S,False
324,YW3DH,False
325,9K5Z,True
326,8B,True
326,D4,False
326,BTU5,False
326,L9,False
327,S3,True
327,B6RN,False
327,5NUW,False
327,XN,False
328,YQ,True
329,AWMR,True
329,5Y5JX,False
329,FSRAO,False
329,P9GP,False
330,V9Q,True
331,6TW,True
331,B0HL,False
331,M1,False
331,9K,False
332,2C,True
332,XV,False
332,TKY,False
332,L9G,False
333,GVO3,True
334,B6,True
334,6H,False
334,56,False
334,2A,False
335,BW,True
335,26,False
335,9S5I,False
335,3CH9F,False
336,43IN,True
336,JG,False
336,QFTJI,False
336,LE,False
337,5QZ,True
338,84,True
338,7RT,False
338,EIQ,False
338,20W,False
339,88,True
339,GMY0,False
339,D7J9D,False
339,UX7,False
340,R07G,True
340,4EZ,False
340,XR,False
340,Q5,False
341,JU93,True
342,D7,True
343,ZT6A,True
344,LVK,True
344,UVWH,False
344,4Y1KB,False
344,6VCX9,False
345,CR0,True
345,HA,False
345,VZQ2,False
345,NQEI,False
346,H2,True
346,GS145,False
346,JL,False
346,43MLG,False
347,N2,True
347,DN,False
347,RJN,False
347,S7UZ,False
348,USJ,True
348,9XRQE,False
348,HO,False
348,TLQD7,False
349,A8,True
349,DV,False
349,O3J6,False
349,SUXA1,False
350,RYWO,True
350,0CB9T,False
350,6E3BK,False
350,G4,False
351,WL98,True
352,DX1V,True
353,BF,True
354,E15,True
354,OOV,False
354,YU,False
354,HIC6,False
355,4X,True
355,1WT06,False
355,4W,False
355,S3OG9,False
356,MZW,True
357,XF,True
357,R0PV2,False
357,F662Q,False
357,KCM,False
358,22BY,True
359,USFD,True
359,RKO,False
359,IVFH,False
359,9A26,False
360,EUI,True
361,QF6D,True
362,8WA,True
363,GI,True
363,RQQID,False
363,0MAFO,False
363,7SF,False
364,VQ49,True
365,6X8D,True
365,ZV,False
365,AWXY6,False
365,L5,False
366,HQ10,True
366,VES8M,False
366,HAL,False
366,GA2KK,False
367,ANA4,True
367,ZS,False
367,ATVK7,False
367,IZ09,False
368,IX,True
368,MHA,False
368,KMXYX,False
368,PGW0,False
369,XI,True
370,VZ4,True
370,KC,False
370,GV3,False
370,LAO,False
371,4A,True
372,3S,True
373,VS8W,True
373,G9HSA,False
373,AGY,False
373,OYHT,False
374,S515,True
374,25,False
374,E99K,False
374,MU7,False
375,SQ,True
376,TFS,True
376,ECQT,False
376,OOLZ,False
376,KSN,False
377,IN9,True
377,0C8PY,False
377,80TB,False
377,8CH0W,False
378,M9JQ,True
379,W79,True
379,GQ,False
379,KFSK,False
379,9C1R,False
380,AFU1,True
381,ZU,True
381,2C,False
381,CDU8S,False
381,6U,False
382,XL39,True
383,8O,True
384,UKZ7,True
384,11Z,False
384,FNI8,False
384,DR3YU,False
385,T6,True
385,Z4TD,False
385,I96I5,False
385,AF,False
386,2U7W,True
386,F49,False
386,HI,False
386,CCYH8,False
387,KYDO,True
387,FXK,False
387,FTJXF,False
387,WRU3,False
388,1LWW,True
388,NWRD1,False
388,RPD,False
388,T5N,False
389,JB,True
389,F1Q3,False
389,H8,False
389,JYZ,False
390,DO,True
390,XAD4M,False
390,K32,False
390,U7O,False
391,YQGI,True
391,HZS,False
391,LO9,False
391,5WU,False
392,1Y,True
392,S7VPY,False
392,H8Q,False
392,0WN,False
393,5BKM,True
393,SCIG,False
393,D1,False
393,ME,False
394,NOQ,True
394,LNQY,False
394,TVK,False
394,VT,False
395,QWZ,True
395,VME2Z,False
395,YY6DH,False
395,NNM,False
396,QPR,True
396,J5H0N,False
396,WLS,False
396,SLL,False
397,SNH,True
397,3BL,False
397,3R3V,False
397,II,False
398,05K,True
398,4XV,False
398,C3DT,False
398,1K,False
399,J5WQ,True
400,SWB,True
400,BCD,False
400,D6NEH,False
400,11A,False
401,CV,True
402,WX,True
402,T96H2,False
402,Z3J9,False
402,DGOB,False
403,EGV,True
404,NR1C,True
405,9O,True
405,XL7V2,False
405,YEJC,False
405,3RU,False
406,10FE,True
407,8NGZ,True
408,TA,True
408,P0,False
408,C4LMI,False
408,WP,False
409,GR,True
410,3QF,True
411,8YNS,True
412,4L,True
413,1E,True
414,SGM,True
415,YP,True
415,OPF,False
415,4DN,False
415,Y8,False
416,CB5H,True
416,E0XF,False
416,22OL,False
416,5K,False
417,IK,True
417,9BLH,False
417,9DWIJ,False
417,Q5,False
418,8BV7,True
418,HOLP,False
418,2HW,False
418,BOTZD,False
419,5Y,True
419,9Y,False
419,4KN5T,False
419,GL,False
420,W3GH,True
420,KHG,False
420,PAWY,False
420,42YR2,False
421,XJ,True
421,98,False
421,XG,False
421,J9,False
422,23,True
423,H9R,True
423,PIET5,False
423,88JHT,False
423,13PTZ,False
424,ACVZ,True
425,IS,True
426,0P,True
426,S6O,False
426,GQT,False
426,EH1,False
427,A8AN,True
428,8KH5,True
428,A0JUE,False
428,96,False
428,4JKA,False
429,86,True
429,84Z,False
429,EC,False
429,X53LD,False
430,2K,True
431,JI,True
432,BPA,True
433,0X,True
434,ZVZ,True
434,PPZ,False
434,V8DLZ,False
434,LJD84,False
435,44,True
435,8PN7,False
435,SR,False
435,BPKY8,False
436,SU,True
436,07I96,False
436,GS,False
436,DR9,False
437,OBL,True
437,K96,False
437,O2,False
437,H3Y4,False
438,N9PV,True
438,90,False
438,EO,False
438,S5,False
439,G7CN,True
439,3IU,False
439,8H,False
439,HNUY8,False
440,R293,True
441,DS9B,True
442,FW,True
443,3WDM,True
443,OD,False
443,VPYXR,False
443,KO5,False
444,CH1,True
445,B7,True
445,2J0A,False
445,4DL,False
445,PE,False
446,OK,True
446,CGXO,False
446,HVFD,False
446,9IPT3,False
447,HAX3,True
447,WW,False
447,ZQH7Z,False
447,1CE,False
448,I2IW,True
449,UGJ,True
449,KIGF,False
449,RYD36,False
449,QNGI,False
450,X8AZ,True
450,4MA,False
450,OP1,False
450,HX,False
451,GY9,True
451,UDM,False
451,AV,False
451,E420Z,False
452,XQ4K,True
453,UV3,True
453,HLZ,False
453,ONXZ,False
453,4LX,False
454,8J,True
455,KX5A,True
455,SLDB,False
455,PW,False
455,ZE3J2,False
456,F5,True
456,2TV,False
456,UM8Z,False
456,YXII,False
457,HJ,True
458,NM3B,True
458,LX3,False
458,13,False
458,XP0R,False
459,RCN,True
459,2S8W,False
459,H4Y4A,False
459,P6ZZK,False
460,N6,True
460,BTK,False
460,C8,False
460,60,False
461,4XV,True
461,IFV6,False
461,HWJE,False
461,6UV9,False
462,Q7B,True
463,GC1,True
464,W5DL,True
465,LDI,True
466,88,True
467,LJ,True
467,8TUD,False
467,224,False
467,0K,False
468,N88,True
468,7R8,False
468,PA5,False
468,PEUQG,False
469,QOGS,True
470,3WZ9,True
471,BM,True
472,HDN,True
473,ZVT,True
473,B5F,False
473,UWRT,False
473,ML,False
474,53,True
474,QI,False
474,6CC,False
474,2BEU,False
475,S5Z1,True
475,KF,False
475,N4QX,False
475,2BF,False
476,UYKL,True
477,JN1,True
478,9T6,True
478,IB,False
478,RD,False
478,IJCY,False
479,M3C3,True
480,V6,True
480,A3,False
480,D9,False
480,IO39N,False
481,5QHP,True
481,4VTDX,False
481,3S,False
481,UUI,False
482,OSZ,True
483,M7,True
484,99,True
485,BUM,True
485,WBU,False
485,DZYM2,False
485,ODUJE,False
486,RY,True
486,FLHE,False
486,9J2U,False
486,O12,False
487,5G88,True
487,GOP,False
487,V7SBX,False
487,4FAJ,False
488,NT,True
489,ZV,True
489,G2R,False
489,QB,False
489,P6W,False
490,7E0A,True
490,GY1,False
490,368I,False
490,1MR0,False
491,QOP,True
492,GAFA,True
492,NM1J9,False
492,KE,False
492,LOWU3,False
493,L6,True
494,2IY4,True
494,OZN,False
494,5Y,False
494,NO,False
495,HX,True
496,SHB,True
496,LX8OD,False
496,J97,False
496,X3P,False
497,J6V9,True
497,RT,False
497,2H,False
497,OCU,False
498,KNY,True
498,SOI0K,False
498,DQL,False
498,KRMT,False
499,FWAX,True
499,65ESE,False
499,Z1,False
499,BQ7,False
